n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
48,P14,La voix de l'enfant rural,,"Services financiers, Commerce, TIC, EFH",Tunisie,,2023,EmpowerHer,,45000,,
49,P14,Centre Pyramide pour la Paix et la Gouvernance,,Industrie,Togo,,2023,Projet d’Accompagnement à l’Autonomisation Socioéconomique du Club des Mères d’Enfants Handicapés et Femmes Handicapées ‘’LIDAOU ‘’ dans la commune de Bassar4 au Togo,,68000,,
50,P14,Organisation pour la Promotion de l'Agroécologie Solidaire,,"Energie et environnement, Agriculture, sylviculture et pêche, Gouvernance et droits",Togo,,2023,Appui à la résilience des femmes rurales face aux changements climatiques pour un développement socioéconomique durable dans la commune Kozah 2 au Togo,,36444,,
51,P14,Association Kinouété,,"Santé, SSR et services sociaux",Maurice,,2023,Nouveau départ: pour la réinsertion sociale des femmes et jeunes femmes après la prison,,76396,,
52,P14,Caritas Solitude Lakaz Lespwar,,"Agriculture, sylviculture et pêche, Energie et environnement",Maurice,,2023,L' autonomisation économique et sociale des femmes à travers l'aquaponie : Un modèle durable pour la communauté,,43938,,
53,P14,Union des associations scientifiques et technologiques de la province de Hoa Binh,,,Vietnam,,2023,"Aide à l’amélioration du système de formation professionnelle axée sur les besoins du marché du travail en faveur des jeunes, notamment des jeunes femmes, issus des ethnies minoritaires de la région du Nord-ouest du Vietnam",,46386,,
54,P14,Renaissance Africaine - Association des Femmes d’Afrique de l’Ouest,,"Agriculture, sylviculture et pêche",Cabo Verde,,2024,"Autonomisation économique des femmes évoluant dans la pêche à l’île de Maio, Cabo Verde",,40811,,
55,P14,Entreprendre au Féminin Océan Indien Seychelles,,"Agriculture, sylviculture et pêche",Seychelles,,2024,Femmes-pêcheurs et transformatrices : créer de nouvelles opportunités commerciales et de nouveaux emplois pour les femmes Seychelloises dans le secteur de l'économie bleue et de la pêche durable,,30000,,
56,P14,Girls and Tech Comores,,"Agriculture, sylviculture et pêche",Comores,,2024,Renforcement de l’Empowerment économique des Femmes aux Comores (REEFC),,99600,,
57,P14,Groupe des Femmes Solidaires pour la Bienfaisance,,"Agriculture, sylviculture et pêche",Djibouti,,2024,Renforcement de l’autonomie économique des Femmes de Kalaf à travers l’agriculture Durable,,53255,,
